Program=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[US],Businesses=[Chronicle],Locale=[en_US],Currency=[USD],Reporting Range=[Month],Viewing Range=[12/1/22 - 12/31/22],Report Updated=[8/19/24]
ASIN,"Product Title",Brand,"Ordered Revenue","Ordered Revenue - Prior Period","Ordered Revenue - Same Period Last Year","Ordered Units","Ordered Units - Prior Period","Ordered Units - Same Period Last Year","Shipped Revenue","Shipped Revenue - Prior Period","Shipped Revenue - Same Period Last Year","Shipped COGS","Shipped COGS - Prior Period","Shipped COGS - Same Period Last Year","Shipped Units","Shipped Units - Prior Period","Shipped Units - Same Period Last Year","Customer Returns","Customer Returns - Prior Period","Customer Returns - Same Period Last Year"
1452179611,"From Crook to Cook: Platinum Recipes from Tha Boss Dogg's Kitchen (Snoop Dogg Cookbook, Celebrity Cookbook with Soul Food Recipes) (Snoop Dog x Chronicle Books)","Chronicle Books","$1,056,732.66","86.36%","127.27%","68,020","84.43%","115.04%","$1,203,894.08","195.06%","149.36%","$893,468.23","192.83%","134.62%","77,055","195.00%","134.74%",661,"382.48%","20.84%"
1452180733,"100 Cookies: The Baking Book for Every Kitchen, with Classic Cookies, Novel Treats, Brownies, Bars, and More","Chronicle Books","$197,879.48","96.99%","-16.42%","11,059","97.13%","4.39%","$209,842.45","140.11%","-13.62%","$148,938.53","141.11%","8.77%","11,725","140.12%","8.32%",163,"143.28%","-4.12%"
1797208012,"Men in Blazers Present Gods of Soccer: The Pantheon of the 100 Greatest Soccer Players (According to Us)","Chronicle Prism","$163,193.24","38.92%",,"5,473","39.55%",,"$183,802.93","89.44%",,"$113,628.00","90.89%",,"6,145","89.95%",,87,"45.00%",
1452159254,"Star Wars: Secrets of the Galaxy Deluxe Box Set","Chronicle Books","$146,600.40","88.82%","41.28%","4,016","88.90%","114.64%","$156,682.97","136.02%","47.76%","$158,039.04","136.22%","124.59%","4,293","136.14%","124.53%",33,"200.00%","120.00%"
1578052351,"Sierra Club Wilderness Calendar 2023","SIERRA CLUB","$139,869.21","76.31%",,"11,809","101.90%",,"$139,661.56","97.24%",,"$76,722.30","113.51%",,"11,147","113.42%",,75,"114.29%",
0811864952,"Ivy and Bean's Treasure Box: (Beginning Chapter Books, Funny Books for Kids, Kids Book Series) (Ivy + Bean)","Chronicle Books","$130,917.78","5.25%","37.75%","10,990","5.24%","78.50%","$147,858.67","36.71%","46.68%","$114,497.16","36.98%","89.77%","12,413","36.71%","89.45%",225,"196.05%","112.26%"
157805236X,"Sierra Club Engagement Calendar 2023","SIERRA CLUB","$126,213.10","35.17%","197,726.18%","11,133","41.75%","278,225.00%","$128,411.77","49.00%",,"$83,629.55","66.63%",,"11,389","66.58%",,56,"100.00%",
1452174032,"The Field Guide to Dumb Birds of North America (Bird Books, Books for Bird Lovers, Humor Books)","Chronicle Books","$121,911.46","130.93%","268.94%","10,258","131.30%","268.60%","$126,763.90","180.29%","290.48%","$78,294.49","180.24%","281.64%","10,657","180.01%","289.80%",119,"325.00%","147.92%"
1797205099,"Dolly Parton, Songteller: My Life in Lyrics","Chronicle Books","$118,955.60","117.83%","-28.10%","4,758","145.76%","-19.04%","$124,884.84","167.15%","-27.79%","$114,654.00","207.71%","-18.58%","4,989","207.77%","-18.51%",87,"210.71%","-19.44%"
0811868958,"Just Between Us: Mother & Daughter: A No-Stress, No-Rules Journal (Activity Journal for Teen Girls and Moms, Diary for Tween Girls)","Chronicle Books","$115,044.33","64.12%","-34.33%","7,541","64.15%","-34.75%","$122,006.13","94.80%","-32.70%","$62,394.58","94.85%","-32.97%","7,997","94.81%","-32.97%",151,"331.43%","52.53%"
1452174792,"Canvas One Line a Day: A Five-Year Memory Book (Yearly Memory Journal and Diary, Natural Canvas Cover)","Chronicle Books","$100,798.47","104.02%","-30.52%","6,709","79.00%","-29.30%","$102,559.85","152.25%","-25.60%","$54,694.35","133.35%","-22.22%","6,996","132.81%","-22.40%",177,"80.61%","66.98%"
1452170339,"Tiny T. Rex and the Impossible Hug","Chronicle Books","$98,520.63","74.20%","142.91%","10,637","74.03%","142.91%","$104,628.93","108.86%","142.53%","$83,222.38","109.04%","142.66%","11,296","108.88%","142.51%",124,"34.78%","58.97%"
1452139113,"Construction Site on Christmas Night: (Christmas Book for Kids, Children's Book, Holiday Picture Book) (Goodnight, Goodnight, Construc)","Chronicle Books","$98,315.03","-8.10%","-41.77%","11,956","-5.11%","-39.35%","$111,474.07","15.86%","-38.79%","$105,399.92","18.92%","-37.22%","13,471","18.89%","-36.63%",330,"247.37%","-21.99%"
145214575X,"Letters to My Grandchild: Write Now. Read Later. Treasure Forever.","Chronicle Books","$98,055.38","213.21%","23.20%","7,285","184.57%","2.06%","$101,273.56","275.48%","24.47%","$52,302.27","246.49%","4.14%","7,568","244.94%","3.71%",63,"173.91%","-16.00%"
1452182272,"LEGO Minifigure Puzzle","Chronicle Books","$94,766.31","65.94%","-35.35%","5,529","29.52%","-32.49%","$98,919.24","76.83%","-35.71%","$48,213.62","40.25%","-32.09%","5,837","40.18%","-32.09%",109,"147.73%","-40.11%"
0811870413,"Tartine Bread (Artisan Bread Cookbook, Best Bread Recipes, Sourdough Book)","Chronicle Books","$86,159.74","47.35%","10.11%","4,187","47.07%","9.64%","$89,631.69","71.53%","13.22%","$80,232.80","71.34%","12.83%","4,357","71.20%","12.76%",76,"46.15%","31.03%"
1797216260,"How We Heal: Uncover Your Power and Set Yourself Free","Chronicle Books","$84,096.35","-37.86%",,"4,671","-37.91%",,"$88,702.03","-53.49%",,"$57,134.01","-53.40%",,"4,925","-53.52%",,175,"139.73%",
1616898062,"The Architecture of Trees","Princeton Architectural Press","$77,725.50","49.78%","31.22%",855,"50.26%","12.65%","$83,043.88","81.46%","42.63%","$54,059.20","79.37%","21.40%",904,"79.37%","21.18%",32,"113.33%","33.33%"
178713928X,"Giuseppe's Italian Bakes: Over 60 Classic Cakes, Desserts and Savory Bakes","Quadrille Publishing","$76,735.33","107.86%",,"2,871","109.87%",,"$185,542.21",,,"$94,985.17",,,"6,879",,,33,,
1452111731,"Goodnight, Goodnight Construction Site (Board Book for Toddlers, Children's Board Book)","Chronicle Books","$73,570.81","6.69%","-24.43%","17,157","7.15%","33.59%","$83,144.54","36.86%","-18.44%","$71,290.30","37.16%","43.75%","19,366","37.12%","44.19%",349,"82.72%","119.50%"
1784882887,"Pasta Grannies: The Official Cookbook: The Secrets of Italy's Best Home Cooks","Quadrille Publishing","$71,552.28","58.00%","43.66%","2,703","58.16%","4.56%","$76,529.95","95.64%","49.08%","$43,381.95","96.69%","8.42%","2,891","95.87%","8.48%",56,"86.67%","64.71%"
1452171602,"Murder Most Puzzling: Twenty Mysterious Cases to Solve","Chronicle Books","$70,845.96","105.61%","38.59%","5,900","105.36%","37.40%","$76,633.10","174.86%","36.73%","$51,337.20","183.06%","38.84%","6,383","174.54%","35.58%",115,"296.55%","49.35%"
2848019840,"The Ultimate Construction Site Book (Ultimate Book, 2)",Tourbillon,"$70,591.33","55.40%","69.50%","3,411","55.40%","49.21%","$77,439.72","100.63%","79.11%","$39,653.93","101.06%","57.72%","3,742","100.64%","57.49%",56,"143.48%","36.59%"
0811870197,"One Line A Day: A Five-Year Memory Book (5 Year Journal, Daily Journal, Yearly Journal, Memory Journal)","Chronicle Books","$70,544.11","138.16%","-45.03%","4,622","138.12%","-56.15%","$70,742.49","173.17%","-43.87%","$36,177.30","173.28%","-55.22%","4,635","173.13%","-55.23%",78,"18.18%","-49.35%"
