Program=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[US],Businesses=[Chronicle],Locale=[en_US],Currency=[USD],Reporting Range=[Month],Viewing Range=[5/1/24 - 5/31/24],Report Updated=[8/19/24]
ASIN,"Product Title",Brand,"Ordered Revenue","Ordered Revenue - Prior Period","Ordered Revenue - Same Period Last Year","Ordered Units","Ordered Units - Prior Period","Ordered Units - Same Period Last Year","Shipped Revenue","Shipped Revenue - Prior Period","Shipped Revenue - Same Period Last Year","Shipped COGS","Shipped COGS - Prior Period","Shipped COGS - Same Period Last Year","Shipped Units","Shipped Units - Prior Period","Shipped Units - Same Period Last Year","Customer Returns","Customer Returns - Prior Period","Customer Returns - Same Period Last Year"
1452126992,"I Wish You More","Chronicle Books","$129,938.85","106.26%","-8.37%","16,595","111.16%","-8.36%","$130,377.33","117.26%","-8.97%","$114,837.55","122.57%","-9.00%","16,651","122.67%","-8.96%",246,"196.39%","-27.00%"
1452179611,"From Crook to Cook: Platinum Recipes from Tha Boss Dogg's Kitchen (Snoop Dogg Cookbook, Celebrity Cookbook with Soul Food Recipes) (Snoop Dog x Chronicle Books)","Chronicle Books","$66,182.34","49.62%","-11.27%","4,578","62.11%","-4.66%","$67,269.45","54.27%","-11.49%","$53,529.42","67.89%","-4.22%","4,647","67.28%","-4.48%",60,"-15.49%","-20.00%"
1958417289,"Bethlehem: A Celebration of Palestinian Food","Hardie Grant","$53,380.75","1,585.42%",,"1,909","2,256.79%",,"$57,833.89",,,"$38,327.20",,,"2,083",,,14,,
1452145768,"Floret Farm's Cut Flower Garden: Grow, Harvest, and Arrange Stunning Seasonal Blooms (Floret Farms x Chronicle Books)","Chronicle Books","$41,995.41","5.51%","17.84%","2,165","5.76%","36.16%","$42,352.61","7.17%","27.88%","$32,528.99","7.73%","57.58%","2,183","7.43%","47.70%",82,"34.43%","127.78%"
1452180733,"100 Cookies: The Baking Book for Every Kitchen, with Classic Cookies, Novel Treats, Brownies, Bars, and More","Chronicle Books","$40,340.76","27.28%","27.90%","2,254","27.49%","27.85%","$40,538.94","29.07%","26.10%","$28,632.47","29.68%","22.95%","2,265","29.28%","26.04%",63,"70.27%","46.51%"
1797226665,"Disappointing Affirmations","Chronicle Books","$40,177.45","128.58%",,"2,952","128.48%",,"$38,916.45","113.63%",,"$19,683.68","114.47%",,"2,861","114.47%",,37,"-5.13%",
0811870413,"Tartine Bread (Artisan Bread Cookbook, Best Bread Recipes, Sourdough Book)","Chronicle Books","$38,885.40","-0.21%","23.74%","1,802","2.68%","30.01%","$39,516.42","1.49%","24.88%","$33,663.19","4.54%","31.05%","1,831","4.63%","31.16%",88,"27.54%","79.59%"
1797219537,"Le Sud: Recipes from Provence-Alpes-Côte d'Azur","Chronicle Books","$34,287.86","-19.82%",,"1,191","-15.89%",,"$34,173.76","-34.04%",,"$19,062.40","-31.68%",,"1,184","-31.68%",,98,"2,350.00%",
1452174792,"Canvas One Line a Day: A Five-Year Memory Book (Yearly Memory Journal and Diary, Natural Canvas Cover)","Chronicle Books","$33,509.43","21.55%","8.70%","2,209","15.29%","9.36%","$33,846.47","26.33%","9.80%","$17,423.68","20.05%","9.37%","2,236","20.09%","10.69%",95,"3.26%","39.71%"
0811864952,"Ivy and Bean's Treasure Box: (Beginning Chapter Books, Funny Books for Kids, Kids Book Series) (Ivy + Bean)","Chronicle Books","$33,270.74","3.11%","-19.34%","2,598","11.89%","-24.93%","$33,694.85","6.32%","-16.75%","$24,539.44","16.88%","-21.69%","2,618","14.77%","-22.91%",65,"-7.14%","3.17%"
145217461X,"The Hike: (Nature Book for Kids, Outdoors-Themed Picture Book for Preschoolers and Kindergarteners)","Chronicle Books","$32,925.87","412.11%","443.74%","2,851","418.36%","450.39%","$28,954.56","369.10%","385.66%","$20,900.04","378.06%","394.70%","2,506","374.62%","391.37%",14,"27.27%","-41.67%"
1452159254,"Star Wars: Secrets of the Galaxy Deluxe Box Set","Chronicle Books","$31,644.90","44.88%","8,613.52%",788,"44.59%","15,660.00%","$31,844.90","41.88%","10,551.54%","$29,174.97","41.62%","16,253.68%",793,"41.61%","19,725.00%",9,"-10.00%","800.00%"
1797202642,"Everyone Poops (Taro Gomi)","Chronicle Books","$29,793.60","7.16%","-16.14%","2,246","8.03%","-5.19%","$29,899.92","7.55%","-15.68%","$17,614.02","8.71%","-4.99%","2,253","8.58%","-4.74%",44,"12.82%","12.82%"
1452111731,"Goodnight, Goodnight Construction Site (Board Book for Toddlers, Children's Board Book)","Chronicle Books","$28,921.95","8.93%","13.12%","6,503","9.59%","7.35%","$28,776.68","7.47%","12.76%","$23,880.39","8.56%","7.35%","6,474","8.22%","7.10%",159,"13.57%","80.68%"
