Program=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[US],Businesses=[Chronicle],Locale=[en_US],Currency=[USD],Reporting Range=[Month],Viewing Range=[8/1/22 - 8/31/22],Report Updated=[8/19/24]
ASIN,"Product Title",Brand,"Ordered Revenue","Ordered Revenue - Prior Period","Ordered Revenue - Same Period Last Year","Ordered Units","Ordered Units - Prior Period","Ordered Units - Same Period Last Year","Shipped Revenue","Shipped Revenue - Prior Period","Shipped Revenue - Same Period Last Year","Shipped COGS","Shipped COGS - Prior Period","Shipped COGS - Same Period Last Year","Shipped Units","Shipped Units - Prior Period","Shipped Units - Same Period Last Year","Customer Returns","Customer Returns - Prior Period","Customer Returns - Same Period Last Year"
1452179611,"From Crook to Cook: Platinum Recipes from Tha Boss Dogg's Kitchen (Snoop Dogg Cookbook, Celebrity Cookbook with Soul Food Recipes) (Snoop Dog x Chronicle Books)","Chronicle Books","$65,570.28","-18.82%","-16.83%","4,187","-18.79%","-31.91%","$66,734.70","-16.74%","-15.18%","$48,916.28","-16.72%","-30.59%","4,261","-16.71%","-30.57%",89,"-13.59%","28.99%"
1743793456,"This is Home: The Art of Simple Living","Hardie Grant","$54,528.84","32.85%","42.66%","1,852","44.80%","60.07%","$54,095.76","32.02%","41.01%","$35,497.32","45.03%","66.69%","1,838","44.84%","58.86%",79,"68.09%","68.09%"
0735362149,"Galison Winter Lights Foil Puzzle 500 Pieces – Holiday Jigsaw Puzzle Featuring Festive City Scene by Joy Laforme – Thick, Sturdy Pieces Challenging Family Activity Great Gift Idea",Galison,"$49,444.37",,"22,257.84%","2,698",,"20,653.85%","$11,129.15",,"3,163.39%","$5,215.50",,"3,567.72%",721,,"3,505.00%",10,,"150.00%"
0811864952,"Ivy and Bean's Treasure Box: (Beginning Chapter Books, Funny Books for Kids, Kids Book Series) (Ivy + Bean)","Chronicle Books","$44,757.58","17.01%","30.01%","3,755","16.98%","62.55%","$43,738.59","16.94%","28.04%","$33,756.39","16.89%","60.03%","3,669","16.88%","60.08%",56,"-1.75%","0.00%"
1646140001,"Everything Sad Is Untrue: (a true story)","LEVINE QUERIDO","$42,029.07","1.00%","81.15%","2,628","1.00%","81.12%","$41,437.44","-1.97%","89.71%","$21,453.48","-2.91%","89.61%","2,591","-1.97%","89.68%",54,"-49.53%","440.00%"
1797211676,"Becoming the One: Heal Your Past, Transform Your Relationship Patterns, and Come Home to Yourself","Chronicle Prism","$41,032.58","-9.87%",,"1,952","3.01%",,"$41,656.75","-8.29%",,"$25,488.52","5.37%",,"1,982","5.37%",,51,"24.39%",
1797202642,"Everyone Poops (Taro Gomi)","Chronicle Books","$37,018.34","5.69%","16.43%","2,422","5.76%","15.77%","$37,193.09","8.68%","17.16%","$19,028.76","8.73%","16.64%","2,433","8.71%","16.63%",33,"10.00%","-10.81%"
1452111731,"Goodnight, Goodnight Construction Site (Board Book for Toddlers, Children's Board Book)","Chronicle Books","$36,477.40","-8.05%","-24.38%","8,489","-8.07%","34.00%","$36,427.72","-6.93%","-23.22%","$31,203.35","-6.95%","36.61%","8,479","-6.95%","36.78%",154,"35.09%","49.51%"
1646140893,"The Last Cuentista: Newbery Medal Winner","LEVINE QUERIDO","$36,319.58","222.80%","1,662.94%","2,215","224.78%","1,565.41%","$37,459.09","455.10%",,"$20,193.41","465.20%",,"2,271","455.26%",,30,"20.00%",
1797212575,"The Wild Unknown Alchemy Deck and Guidebook (Official Keepsake Box Set)","Chronicle Prism","$33,640.52","-49.63%",,976,"-48.36%",,"$33,764.37","-76.51%",,"$18,013.60","-78.25%",,979,"-78.25%",,40,"-13.04%",
081182778X,"Enemy Pie : (Reading Rainbow Book, Children’s Book about Kindness, Kids Books about Learning)","Chronicle Books","$32,352.75","103.97%","-14.92%","2,648","103.85%","-4.16%","$31,978.05","111.06%","-15.99%","$20,486.71","111.10%","-5.17%","2,618","110.96%","-5.21%",19,"58.33%","18.75%"
1452145768,"Floret Farm's Cut Flower Garden: Grow, Harvest, and Arrange Stunning Seasonal Blooms (Floret Farms x Chronicle Books)","Chronicle Books","$27,607.98","-5.16%","-67.17%","1,201","-2.04%","-69.26%","$27,920.49","-2.37%","-66.51%","$16,731.81","0.92%","-68.70%","1,214","0.91%","-68.67%",34,"17.24%","-47.69%"
1452178593,"Press Here (Herve Tullet)","Chronicle Books","$27,541.42","-2.59%","-28.86%","3,405","-2.58%","-54.78%","$27,383.21","-3.93%","-27.33%","$14,018.75","-3.94%","-54.06%","3,386","-3.94%","-54.04%",100,"29.87%","-21.26%"
0811870413,"Tartine Bread (Artisan Bread Cookbook, Best Bread Recipes, Sourdough Book)","Chronicle Books","$26,857.69","5.98%","-0.92%","1,303","6.19%","-4.82%","$27,224.87","9.64%","1.96%","$24,288.00","9.73%","-2.19%","1,320","9.73%","-2.15%",38,"26.67%","22.58%"
0811877825,"Goodnight, Goodnight, Construction Site","Chronicle Books","$26,855.51","23.92%","16.19%","1,869","24.52%","-35.53%","$26,612.86","23.84%","14.78%","$14,498.28","24.75%","-36.27%","1,854","24.76%","-36.24%",42,"61.54%","-17.65%"
1452180733,"100 Cookies: The Baking Book for Every Kitchen, with Classic Cookies, Novel Treats, Brownies, Bars, and More","Chronicle Books","$25,655.93","-4.99%","-12.65%","1,433","-5.04%","14.00%","$25,977.95","-2.18%","-9.90%","$18,355.15","-2.22%","17.95%","1,451","-2.22%","17.97%",36,"2.86%","28.57%"
1452159254,"Star Wars: Secrets of the Galaxy Deluxe Box Set","Chronicle Books","$25,505.20","-37.75%","56.56%",696,"-33.59%","140.83%","$26,065.41","-35.83%","62.00%","$26,164.80","-31.17%","149.47%",711,"-31.17%","149.47%",17,"88.89%","325.00%"
1452126992,"I Wish You More","Chronicle Books","$24,537.58","16.04%","-6.01%","3,646","16.08%","4.80%","$24,268.38","14.15%","-7.59%","$24,881.40","14.19%","3.01%","3,606","14.19%","3.03%",91,"-46.78%","35.82%"
1797204726,"Construction Site: Road Crew, Coming Through! (Goodnight, Goodnight, Construc)","Chronicle Books","$24,187.79","11.67%","105.29%","1,919","11.63%","144.15%","$24,272.78","13.99%",,"$15,948.71","13.97%",,"1,926","13.96%",,38,"26.67%",
174379570X,"Still: The Slow Home","Hardie Grant","$22,826.30","49.03%","50.17%",648,"48.97%","21.12%","$22,861.51","52.77%","50.12%","$12,538.68","52.71%","21.08%",649,"52.71%","21.08%",37,"5.71%","2.78%"
157805236X,"Sierra Club Engagement Calendar 2023","SIERRA CLUB","$21,754.77","205.13%",,"1,493","234.00%",,"$31,511.25","16,363.56%",,"$15,431.22","17,419.55%",,"2,102","17,416.67%",,12,,
081187754X,"Pantone Art Postcard Box: 100 Postcards (Pantone Color Chip Card Set)","Chronicle Books","$21,569.16","21.53%","59.85%","1,109","18.10%","66.27%","$21,334.15","21.48%","61.79%","$11,352.00","19.31%","65.90%","1,075","19.31%","65.90%",17,"13.33%","54.55%"
1797216260,"How We Heal: Uncover Your Power and Set Yourself Free","Chronicle Books","$20,820.42","451.79%",,927,"451.79%",,,,,,,,,,,,,
1452108196,"The World of Eric Carle(TM) The Very Hungry Caterpillar(TM) Lacing Cards: (Occupational Therapy Toys, Lacing Cards for Toddlers, Fine Motor Skills Toys, Lacing Cards for Kids)","Chronicle Books","$20,562.93","50.81%","105.99%","1,480","50.87%","108.74%","$20,326.80","53.62%","104.77%","$11,440.20","53.67%","107.54%","1,463","53.68%","107.52%",18,"63.64%","200.00%"
1797205099,"Dolly Parton, Songteller: My Life in Lyrics","Chronicle Books","$20,545.98","-43.77%","-36.31%",689,"-55.17%","-27.55%","$20,993.28","-41.98%","-35.19%","$15,709.00","-52.68%","-28.53%",704,"-53.84%","-26.28%",40,"25.00%","8.11%"
1452170339,"Tiny T. Rex and the Impossible Hug","Chronicle Books","$20,366.71","1.05%","-6.72%","2,196","1.15%","-6.87%","$20,144.47","0.82%","-5.25%","$15,985.92","0.93%","-5.46%","2,172","0.93%","-5.40%",38,"-35.59%","46.15%"
0811826023,"Peek-a Who? (Lift the Flap Books, Interactive Books for Kids, Interactive Read Aloud Books)","Chronicle Books","$20,362.50","-1.48%","-40.87%","3,258","-1.48%","-49.44%","$20,443.75","0.99%","-39.94%","$10,467.20","0.99%","-49.32%","3,271","0.99%","-49.25%",64,"113.33%","-32.63%"
1784883506,"Resident Dog (Volume Two): Incredible Homes and the Dogs Who Live There","Quadrille Publishing","$19,683.29","45.81%","167.78%",508,"45.98%","128.83%","$19,187.47","42.56%","160.95%","$11,385.00","42.59%","123.98%",495,"42.65%","123.98%",14,"-12.50%","55.56%"
B084H2HSGZ,"Heroes: The Greek Myths Reimagined (Stephen Fry's Greek Myths Book 2)",UNKNOWN,"$19,007.45","234.36%","700.95%","4,768","661.66%","1,920.34%","$18,895.73","236.28%","703.01%","$8,860.52","51.10%","291.89%","4,740","679.61%","1,925.64%",27,"107.69%","800.00%"
1452182272,"LEGO Minifigure Puzzle","Chronicle Books","$18,402.61","10.83%","-70.54%","1,116","20.65%","-67.93%","$18,387.97","11.84%","-70.80%","$9,176.86","21.29%","-68.33%","1,111","21.29%","-68.33%",34,"54.55%","13.33%"
1452168660,"Studio Ghibli: 100 Collectible Postcards: Final Frames from the Feature Films (1984-2014)","Chronicle Books","$18,364.48","27.20%","-10.86%",886,"27.30%","-28.08%","$18,417.67","28.81%","-9.16%","$9,385.08","29.01%","-26.78%",889,"29.03%","-26.77%",19,"35.71%","216.67%"
1452174792,"Canvas One Line a Day: A Five-Year Memory Book (Yearly Memory Journal and Diary, Natural Canvas Cover)","Chronicle Books","$18,359.36","2.38%","-2.87%","1,203","2.38%","-8.10%","$18,405.14","4.42%","-3.29%","$9,408.15","4.41%","-8.50%","1,206","4.42%","-8.50%",35,"-35.19%","-27.08%"
1452152160,"Mighty, Mighty Construction Site (Goodnight, Goodnight, Construc)","Chronicle Books","$18,157.85","15.29%","-17.43%","1,495","15.27%","-10.37%","$18,040.11","15.79%","-16.76%","$11,612.70","15.74%","-9.67%","1,485","15.74%","-9.62%",16,"128.57%","-20.00%"
0735375283,"Galison Autumn in The Neighborhood 1000 Piece Puzzle from Galison - 27"" x 20"" Beautifully Illustrated Puzzle from Joy LaForme, Thick & Sturdy Pieces, Challenging Activity for Adults, Unique Gift Idea!",Galison,"$17,861.15","153.14%",,927,"158.22%",,"$17,179.15","136.66%",,"$7,602.12","144.95%",,887,"141.69%",,8,"300.00%",
0811843513,"The Ultimate Bar Book: The Comprehensive Guide to Over 1,000 Cocktails (Cocktail Book, Bartender Book, Mixology Book, Mixed Drinks Recipe Book)","Chronicle Books","$17,831.26","-22.75%","-57.12%",803,"-22.04%","-69.63%","$18,071.20","-21.82%","-56.01%","$9,305.66","-21.45%","-61.19%",812,"-21.39%","-68.92%",34,"41.67%","-20.93%"
1568989695,"Thinking with Type, 2nd revised ed.: A Critical Guide for Designers, Writers, Editors, & Students","Princeton Architectural Press","$17,706.12","246.15%","-5.00%","1,203","246.69%","-5.05%","$16,897.07","236.13%","-3.53%","$14,761.69","236.62%","-2.36%","1,148","236.66%","-3.61%",10,"42.86%","25.00%"
1797216228,"Stay Curious and Keep Exploring: 50 Amazing, Bubbly, and Creative Science Experiments to Do with the Whole Family","Chronicle Prism","$17,685.29","129.49%",,870,"133.24%",,,,,,,,,,,,,
1784882887,"Pasta Grannies: The Official Cookbook: The Secrets of Italy's Best Home Cooks","Quadrille Publishing","$17,624.69","0.08%","-4.68%",665,"0.00%","-31.44%","$17,677.69","0.99%","-3.85%","$9,970.50","1.07%","-25.07%",667,"0.91%","-30.81%",26,"18.18%","52.94%"
0811868958,"Just Between Us: Mother & Daughter: A No-Stress, No-Rules Journal (Activity Journal for Teen Girls and Moms, Diary for Tween Girls)","Chronicle Books","$17,564.26","9.17%","-15.11%","1,151","9.20%","-20.95%","$17,198.02","7.57%","-15.77%","$8,790.14","7.03%","-21.44%","1,127","7.03%","-21.63%",30,"42.86%","7.14%"
1452150184,"This Is How We Do It: One Day in the Lives of Seven Kids from around the World (Easy Reader Books, Children Around the World Books, Preschool Prep Books)","Chronicle Books","$17,014.19","6.09%","-40.67%","1,373","6.27%","-41.02%","$17,076.14","7.55%","-38.99%","$12,044.31","7.11%","-39.37%","1,378","7.74%","-39.35%",30,"15.38%","-9.09%"
1452152632,"Nurture: A Modern Guide to Pregnancy, Birth, Early Motherhood―and Trusting Yourself and Your Body","Chronicle Books","$16,964.97","6.77%","20.56%","1,100","6.80%","38.71%","$17,048.53","8.93%","20.89%","$11,666.96","8.85%","39.53%","1,105","8.87%","39.52%",39,"30.00%","105.26%"
0811836037,"A Camping Spree with Mr. Magee: (Read Aloud Books, Series Books for Kids, Books for Early Readers) (Mr. Magee, MCGE)","Chronicle Books","$16,770.06","-17.49%","16.75%","1,525","-17.52%","38.89%","$16,995.42","-15.17%","18.68%","$12,047.90","-15.11%","41.00%","1,545","-15.25%","40.97%",22,"15.79%","-4.35%"
1913947610,"Fabric for Fashion: The Swatch Book Revised Second Edition","Laurence King Publishing","$16,641.13","108.07%","12,226.76%",187,"107.78%","18,600.00%","$16,106.43","105.95%",,"$11,240.10","105.68%",,181,"105.68%",,8,"300.00%",
1452178917,"Mythos: (Ancient Greek Mythology Book for Adults, Modern Telling of Classical Greek Myths Book) (Stephen Fry's Greek Myths, 1)","Chronicle Books","$15,811.74","1.01%","-37.93%",846,"1.08%","-37.47%","$15,923.88","4.47%","-37.01%","$11,740.56","4.54%","-36.55%",852,"4.54%","-36.51%",20,"-13.04%","-37.50%"
1452172897,"Floret Farm’s A Year in Flowers: Designing Gorgeous Arrangements for Every Season (Floret Farms x Chronicle Books)","Chronicle Books","$15,701.92","-5.04%","-76.65%",826,"-5.17%","-70.55%","$15,876.72","-2.28%","-81.84%","$11,506.30","-2.45%","-77.18%",835,"-2.45%","-77.14%",44,"15.79%","-27.87%"
B08BR2HFWJ,"Everything Sad Is Untrue: (a true story)",UNKNOWN,"$15,201.25","156.02%","373.02%","5,087","588.36%","373.21%","$14,755.74","150.79%","372.79%","$6,877.92","15.35%","377.39%","4,938","584.88%","372.99%",29,"190.00%","866.67%"
1797204327,"Construction Site Gets a Fright!: A Halloween Lift-the-Flap Book (Goodnight, Goodnight, Construc)","Chronicle Books","$14,994.99","780.33%",,"1,501","804.22%",,"$14,525.46",,,"$8,748.48",,,"1,454",,,,,
073535961X,"Galison Houseplant Jungle 1000 Piece Jigsaw Puzzle for Adults – Plant Jigsaw Puzzle with Mix of Succulents & Other Household Plants – Fun Indoor Activity, Multicolor",Galison,"$14,951.28","19.04%","-34.01%",989,"33.83%","-25.64%","$14,999.63","18.94%","-35.18%","$7,853.30","34.64%","-26.05%",990,"33.42%","-27.10%",13,"30.00%","-13.33%"
1452169500,"History as They Saw It: Iconic Moments from the Past in Color","Chronicle Books","$14,891.92","40.62%","221.27%",618,"40.77%","241.44%","$14,829.25","44.27%","219.20%","$11,334.40","44.60%","240.33%",616,"44.60%","240.33%",21,"90.91%","200.00%"
073534213X,"Mudpuppy Eric Carle The Very Hungry Caterpillar and Friends Magnetic Character Set– Ages 3+ - Magnetic Play Set with 4 Scenes, 40+ Magnets – Great for Travel, Quiet Time",Mudpuppy,"$14,704.80","12.44%","139.17%",880,"11.25%","143.09%","$15,189.39","19.73%","126.97%","$7,719.90","18.33%","130.70%",909,"18.36%","130.71%",24,"20.00%","60.00%"
