Program=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[US],Businesses=[Chronicle],Locale=[en_US],Currency=[USD],Reporting Range=[Month],Viewing Range=[5/1/23 - 5/31/23],Report Updated=[8/19/24]
ASIN,"Product Title",Brand,"Ordered Revenue","Ordered Revenue - Prior Period","Ordered Revenue - Same Period Last Year","Ordered Units","Ordered Units - Prior Period","Ordered Units - Same Period Last Year","Shipped Revenue","Shipped Revenue - Prior Period","Shipped Revenue - Same Period Last Year","Shipped COGS","Shipped COGS - Prior Period","Shipped COGS - Same Period Last Year","Shipped Units","Shipped Units - Prior Period","Shipped Units - Same Period Last Year","Customer Returns","Customer Returns - Prior Period","Customer Returns - Same Period Last Year"
1452126992,"I Wish You More","Chronicle Books","$141,803.41","126.12%","-1.48%","18,108","126.12%","-8.42%","$143,224.47","140.38%","-0.21%","$126,194.10","139.55%","-7.02%","18,289","140.36%","-7.02%",337,"491.23%","82.16%"
1452179611,"From Crook to Cook: Platinum Recipes from Tha Boss Dogg's Kitchen (Snoop Dogg Cookbook, Celebrity Cookbook with Soul Food Recipes) (Snoop Dog x Chronicle Books)","Chronicle Books","$74,590.74","14.96%","-63.06%","4,802","14.96%","-62.73%","$76,002.01","19.25%","-63.61%","$55,886.02","19.30%","-63.47%","4,865","19.27%","-63.49%",75,"-22.68%","-65.44%"
1797216163,"100 Morning Treats: With Muffins, Rolls, Biscuits, Sweet and Savory Breakfast Breads, and More","Chronicle Books","$63,859.93","190.99%",,"2,774","177.96%",,"$142,383.45",,,"$80,327.50",,,"6,350",,,74,,
0811864952,"Ivy and Bean's Treasure Box: (Beginning Chapter Books, Funny Books for Kids, Kids Book Series) (Ivy + Bean)","Chronicle Books","$41,246.79","12.82%","87.09%","3,461","12.81%","87.08%","$40,472.64","9.75%","88.46%","$31,337.50","8.95%","89.12%","3,396","9.76%","88.46%",63,"-4.55%","110.00%"
1452145768,"Floret Farm's Cut Flower Garden: Grow, Harvest, and Arrange Stunning Seasonal Blooms (Floret Farms x Chronicle Books)","Chronicle Books","$35,637.11","42.11%","-8.45%","1,590","42.60%","1.15%","$33,118.23","33.87%","-20.48%","$20,642.44","36.12%","-10.89%","1,478","34.36%","-12.08%",36,"12.50%","9.09%"
1797202642,"Everyone Poops (Taro Gomi)","Chronicle Books","$35,526.85","2.73%","10.23%","2,369","2.69%","12.43%","$35,460.32","3.48%","10.71%","$18,538.94","3.71%","13.21%","2,365","3.46%","12.94%",39,"-13.33%","-7.14%"
0811868958,"Just Between Us: Mother & Daughter: A No-Stress, No-Rules Journal (Activity Journal for Teen Girls and Moms, Diary for Tween Girls)","Chronicle Books","$31,809.70","-24.43%","5.29%","2,122","-24.02%","-14.30%","$32,143.78","-24.46%","4.68%","$16,691.54","-24.18%","-14.30%","2,140","-24.19%","-14.30%",84,"50.00%","40.00%"
1452180733,"100 Cookies: The Baking Book for Every Kitchen, with Classic Cookies, Novel Treats, Brownies, Bars, and More","Chronicle Books","$31,540.07","25.26%","13.33%","1,763","25.30%","13.52%","$32,148.33","30.94%","15.21%","$23,288.43","34.18%","18.24%","1,797","30.98%","15.41%",43,"0.00%","7.50%"
0811870413,"Tartine Bread (Artisan Bread Cookbook, Best Bread Recipes, Sourdough Book)","Chronicle Books","$31,425.25","0.92%","27.25%","1,386","-1.35%","13.61%","$31,643.33","1.99%","26.57%","$25,686.40","-0.71%","13.00%","1,396","-0.71%","13.04%",49,"0.00%","53.13%"
1452174792,"Canvas One Line a Day: A Five-Year Memory Book (Yearly Memory Journal and Diary, Natural Canvas Cover)","Chronicle Books","$30,826.64","29.82%","23.05%","2,020","29.82%","5.10%","$30,826.64","33.07%","20.60%","$15,930.84","34.55%","4.11%","2,020","33.07%","3.01%",68,"6.25%","1.49%"
1452172897,"Floret Farm’s A Year in Flowers: Designing Gorgeous Arrangements for Every Season (Floret Farms x Chronicle Books)","Chronicle Books","$29,478.04","66.73%","8.51%","1,552","66.70%","8.38%","$28,528.54","63.83%","-19.07%","$20,704.45","63.85%","-20.63%","1,502","63.79%","-19.16%",56,"64.71%","9.80%"
1452174032,"The Field Guide to Dumb Birds of North America (Bird Books, Books for Bird Lovers, Humor Books)","Chronicle Books","$29,380.84","15.58%","46.95%","2,539","16.10%","49.97%","$30,549.41","24.75%","53.88%","$19,563.10","26.46%","58.55%","2,640","25.36%","57.05%",51,"0.00%","168.42%"
0811836037,"A Camping Spree with Mr. Magee: (Read Aloud Books, Series Books for Kids, Books for Early Readers) (Mr. Magee, MCGE)","Chronicle Books","$28,406.35","58.31%","-2.48%","2,592","58.73%","-2.19%","$28,584.89","60.21%","-3.79%","$20,279.48","60.15%","-3.81%","2,600","60.20%","-3.81%",26,"18.18%","52.94%"
1743793456,"This is Home: The Art of Simple Living","Hardie Grant","$27,063.04","18.97%","82.32%",723,"20.70%","70.52%","$26,785.11","18.14%","73.99%","$14,733.80","19.19%","67.69%",712,"19.26%","55.46%",40,"29.03%","21.21%"
1797203061,"The Art of Ruth E. Carter: Costuming Black History and the Afrofuture, from Do the Right Thing to Black Panther","Chronicle Books","$26,280.85","303.33%",,730,"303.31%",,"$47,196.61",,,"$24,122.40",,,"1,311",,,1,,
1616898062,"The Architecture of Trees","Princeton Architectural Press","$26,034.72","17.43%","4,257.13%",284,"17.84%","5,580.00%","$26,310.69","14.40%","4,443.22%","$17,102.80","14.44%","5,620.00%",286,"14.40%","5,620.00%",17,"21.43%","1,600.00%"
1452111731,"Goodnight, Goodnight Construction Site (Board Book for Toddlers, Children's Board Book)","Chronicle Books","$25,567.23","-4.56%","-0.49%","6,058","-4.94%","0.90%","$25,521.30","-7.31%","-0.34%","$22,245.60","-7.83%","0.90%","6,045","-7.82%","0.90%",88,"10.00%","14.29%"
1646140893,"The Last Cuentista: Newbery Medal Winner","LEVINE QUERIDO","$23,931.11","70.16%","-15.30%","1,849","85.46%","5.78%","$23,367.51","66.74%","40.90%","$16,026.06","87.35%","79.01%","1,798","83.66%","68.98%",8,"14.29%","-78.38%"
0811826023,"Peek-a Who? (Lift the Flap Books, Interactive Books for Kids, Interactive Read Aloud Books)","Chronicle Books","$23,309.14","31.25%","55.72%","3,943","31.21%","64.63%","$23,084.56","29.34%","54.28%","$12,513.92","29.48%","63.26%","3,905","29.30%","63.12%",47,"-30.88%","38.24%"
1452178593,"Press Here (Herve Tullet)","Chronicle Books","$23,037.34","-9.03%","-9.70%","3,014","-8.92%","-4.56%","$22,945.66","-9.38%","-9.68%","$12,428.28","-9.30%","-4.53%","3,002","-9.28%","-4.52%",78,"6.85%","36.84%"
1452168369,"Mindfulness Cards: Simple Practices for Everyday Life","Chronicle Books","$23,026.59","58.57%","108.73%","1,816","45.75%","91.97%","$23,795.00","76.60%","86.32%","$15,044.04","66.84%","76.14%","1,894","63.84%","72.81%",26,"-25.71%","-13.33%"
0811877825,"Goodnight, Goodnight, Construction Site","Chronicle Books","$22,104.60","-8.55%","4.77%","1,939","-8.54%","33.17%","$22,138.80","-6.24%","3.93%","$15,376.16","-4.94%","33.76%","1,942","-6.14%","32.11%",82,"13.89%","60.78%"
0811870197,"One Line A Day: A Five-Year Memory Book (5 Year Journal, Daily Journal, Yearly Journal, Memory Journal)","Chronicle Books","$20,637.65","44.33%","-21.40%","1,352","44.29%","-39.88%","$20,668.17","48.51%","-21.97%","$10,561.20","48.46%","-40.33%","1,354","48.46%","-40.33%",40,"17.65%","-41.18%"
1784883506,"Resident Dog (Volume Two): Incredible Homes and the Dogs Who Live There","Quadrille Publishing","$18,833.35","30.06%","897.32%",424,"29.27%","960.00%","$19,055.40","30.79%","714.89%","$10,853.70","30.79%","843.80%",429,"30.79%","758.00%",9,"-52.63%","-25.00%"
1452164622,"Modern One Line a Day: A Five-Year Memory Book","Chronicle Books","$17,920.90","77.65%","34.32%","1,173","77.46%","33.90%","$18,470.26","97.43%","39.33%","$9,430.20","97.23%","38.97%","1,209","97.23%","38.97%",51,"264.29%","240.00%"
1797205099,"Dolly Parton, Songteller: My Life in Lyrics","Chronicle Books","$17,515.34","11.84%","-34.57%",661,"11.84%","-9.45%","$17,753.75","13.55%","-34.16%","$15,410.00","13.56%","-3.87%",670,"13.56%","-8.59%",18,"12.50%","-40.00%"
0735362149,"Galison Winter Lights Foil Puzzle 500 Pieces – Holiday Jigsaw Puzzle Featuring Festive City Scene by Joy Laforme – Thick, Sturdy Pieces Challenging Family Activity Great Gift Idea",Galison,"$17,489.61","116,575.18%",,831,"83,000.00%",,"$15,744.43","11,315.63%",,"$5,625.00","9,665.63%",,750,"9,275.00%",,1,"0.00%",
1797204726,"Construction Site: Road Crew, Coming Through! (Goodnight, Goodnight, Construc)","Chronicle Books","$17,391.63","-3.00%","-19.09%","1,380","-3.02%","-19.06%","$17,505.03","0.24%","-18.56%","$11,502.89","0.18%","-18.52%","1,389","0.22%","-18.53%",25,"8.70%","-35.90%"
1797211676,"Becoming the One: Heal Your Past, Transform Your Relationship Patterns, and Come Home to Yourself","Chronicle Prism","$17,063.72","54.84%","105.38%",812,"54.96%","143.84%","$16,218.04","48.58%",,"$9,927.92","48.75%",,772,"48.75%",,8,"-55.56%",
1797206125,"The Live Your Values Deck: Sort Out, Honor, and Practice What Matters Most to You","Chronicle Books","$16,757.99","4.95%","298.32%",984,"4.79%","343.24%","$16,582.43","2.42%","335.33%","$8,475.84","2.42%","383.58%",972,"2.42%","383.58%",11,"-35.29%",
2848019425,"The Ultimate Book of Vehicles: From Around the World (Ultimate Book, 1)",Tourbillon,"$16,638.12","11.97%","29.63%",804,"11.98%","28.23%","$16,348.46","8.07%","26.76%","$8,356.82","8.10%","25.38%",790,"8.07%","25.40%",18,"20.00%","63.64%"
1797216260,"How We Heal: Uncover Your Power and Set Yourself Free","Chronicle Books","$16,413.27","-22.76%","13,056.93%",940,"-22.76%","18,700.00%","$16,709.92","-19.72%",,"$10,988.35","-19.74%",,957,"-19.71%",,27,"-12.90%",
1646140001,"Everything Sad Is Untrue: (a true story)","LEVINE QUERIDO","$16,008.63","-11.32%","-39.51%","1,049","-11.18%","-36.62%","$16,574.36","-7.01%","-38.38%","$9,561.92","-4.21%","-31.34%","1,084","-6.95%","-35.55%",26,"-3.70%","-39.53%"
