Program=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[US],Businesses=[Chronicle],Locale=[en_US],Currency=[USD],Reporting Range=[Month],Viewing Range=[3/1/23 - 3/31/23],Report Updated=[8/19/24]
ASIN,"Product Title",Brand,"Ordered Revenue","Ordered Revenue - Prior Period","Ordered Revenue - Same Period Last Year","Ordered Units","Ordered Units - Prior Period","Ordered Units - Same Period Last Year","Shipped Revenue","Shipped Revenue - Prior Period","Shipped Revenue - Same Period Last Year","Shipped COGS","Shipped COGS - Prior Period","Shipped COGS - Same Period Last Year","Shipped Units","Shipped Units - Prior Period","Shipped Units - Same Period Last Year","Customer Returns","Customer Returns - Prior Period","Customer Returns - Same Period Last Year"
1797204319,"Construction Site: Spring Delight: An Easter Lift-the-Flap Book (Goodnight, Goodnight, Construc)","Chronicle Books","$121,102.20","311.25%","10.98%","10,444","313.62%","11.11%","$115,853.39","331.45%","-8.90%","$59,270.32","331.49%","-11.72%","9,910","331.43%","-9.58%",44,"633.33%","76.00%"
1452179611,"From Crook to Cook: Platinum Recipes from Tha Boss Dogg's Kitchen (Snoop Dogg Cookbook, Celebrity Cookbook with Soul Food Recipes) (Snoop Dog x Chronicle Books)","Chronicle Books","$67,862.32","-18.70%","-79.80%","4,352","-18.58%","-83.29%","$68,824.82","-18.75%","-79.46%","$50,601.24","-18.80%","-83.06%","4,405","-18.68%","-83.05%",110,"-72.01%","-53.39%"
1452172722,"Bibliophile Ceramic Vase: A Compendium of Flowers: A Compendium of Flowers (Flower Vase, Ceramic Vase for Book Lovers, Gift Idea for Book Lovers)","Chronicle Books","$50,470.10","80.27%","2,686.77%","1,879","77.94%","2,746.97%","$50,316.29","95.83%","2,546.96%","$25,603.24","97.45%","2,758.46%","1,858","97.45%","2,758.46%",25,"257.14%","733.33%"
0811870413,"Tartine Bread (Artisan Bread Cookbook, Best Bread Recipes, Sourdough Book)","Chronicle Books","$39,938.90","-10.44%","20.51%","1,945","-10.20%","17.52%","$40,717.52","-8.92%","21.08%","$36,487.20","-8.62%","18.11%","1,983","-8.62%","18.11%",65,"-38.68%","32.65%"
179721019X,"LEGO Minifigure Faces 1000-Piece Jigsaw Puzzle","Chronicle Books","$37,558.17","170.86%","78.95%","4,283","208.57%","107.51%","$24,689.91","76.66%","-25.27%","$22,789.34","97.21%","-15.00%","2,759","97.21%","-15.00%",38,"-50.65%","-78.41%"
1797202642,"Everyone Poops (Taro Gomi)","Chronicle Books","$35,844.63","13.18%","-9.79%","2,489","12.17%","-15.57%","$36,120.28","14.86%","-9.09%","$19,648.91","14.04%","-15.34%","2,512","14.03%","-15.36%",54,"-3.57%","22.73%"
1452111731,"Goodnight, Goodnight Construction Site (Board Book for Toddlers, Children's Board Book)","Chronicle Books","$33,038.45","17.87%","31.31%","7,898","17.72%","30.29%","$32,578.41","16.90%","29.66%","$28,661.58","16.79%","28.63%","7,788","16.81%","28.62%",78,"-25.71%","-7.14%"
0811868958,"Just Between Us: Mother & Daughter: A No-Stress, No-Rules Journal (Activity Journal for Teen Girls and Moms, Diary for Tween Girls)","Chronicle Books","$31,299.73","21.43%","8.10%","2,051","21.50%","-0.58%","$30,902.97","19.61%","9.12%","$15,796.86","19.70%","0.26%","2,025","19.68%","0.25%",57,"-43.00%","14.00%"
1452145768,"Floret Farm's Cut Flower Garden: Grow, Harvest, and Arrange Stunning Seasonal Blooms (Floret Farms x Chronicle Books)","Chronicle Books","$30,867.25","-2.92%","-12.33%","1,372","-2.97%","-4.59%","$31,339.54","-0.59%","-12.89%","$19,209.32","-0.61%","-5.12%","1,393","-0.64%","-5.17%",36,"-18.18%","20.00%"
1452178593,"Press Here (Herve Tullet)","Chronicle Books","$29,554.99","39.09%","-10.52%","3,862","46.01%","-5.51%","$29,679.04","37.46%","-11.79%","$16,055.68","44.72%","-6.85%","3,878","44.76%","-6.85%",77,"-7.23%","-33.04%"
1452126992,"I Wish You More","Chronicle Books","$29,119.31","54.00%","27.48%","3,715","48.42%","22.36%","$28,398.95","52.35%","22.20%","$25,000.34","46.16%","17.29%","3,623","46.15%","17.29%",61,"48.78%","60.53%"
1452180733,"100 Cookies: The Baking Book for Every Kitchen, with Classic Cookies, Novel Treats, Brownies, Bars, and More","Chronicle Books","$28,819.45","2.33%","-12.88%","1,610","2.42%","-10.75%","$29,213.03","4.52%","-11.24%","$20,663.79","4.56%","-8.64%","1,632","4.62%","-8.72%",33,"-64.89%","-28.26%"
1797210726,"Lego Rainbow Bricks Puzzle: 1000-piece","Chronicle Books","$28,613.99","54.13%","138.38%","2,619","54.24%","248.74%","$27,358.19","45.92%","129.25%","$20,683.04","46.01%","236.56%","2,504","46.01%","236.56%",39,"-26.42%","105.26%"
1743793456,"This is Home: The Art of Simple Living","Hardie Grant","$24,957.51","-7.73%","-23.58%",657,"-7.72%","-47.86%","$24,843.54","-9.42%","-29.13%","$13,528.60","-9.47%","-45.21%",654,"-9.42%","-50.64%",46,"-9.80%","-24.59%"
1452161364,"Up in the Garden and Down in the Dirt: (Nature Book for Kids, Gardening and Vegetable Planting, Outdoor Nature Book) (Over and Under)","Chronicle Books","$24,955.96","167.61%","-0.05%","3,653","167.82%","16.90%","$24,812.53","202.65%","0.89%","$13,371.85","203.06%","18.03%","3,632","202.92%","18.00%",20,"100.00%","17.65%"
1616898062,"The Architecture of Trees","Princeton Architectural Press","$24,306.41","23.18%","2,217.50%",267,"23.61%","2,866.67%","$22,466.61","11.26%","1,563.16%","$14,648.70","11.39%","1,872.62%",245,"11.36%","1,941.67%",18,"-18.18%","100.00%"
1452174032,"The Field Guide to Dumb Birds of North America (Bird Books, Books for Bird Lovers, Humor Books)","Chronicle Books","$23,785.45","49.40%","101.68%","2,026","50.30%","110.60%","$23,692.42","51.40%","99.57%","$14,804.44","52.22%","109.18%","2,017","52.23%","109.45%",30,"-59.46%","114.29%"
1797213873,"Construction Site: Farming Strong All Year Long (Goodnight, Goodnight, Construc)","Chronicle Books","$22,772.33","51.28%","25,216.65%","1,520","51.09%","30,300.00%","$22,232.69","46.10%",,"$12,287.52","46.18%",,"1,484","46.21%",,14,"-36.36%",
1452144826,"Endlessly Ever After: Pick YOUR Path to Countless Fairy Tale Endings!","Chronicle Books","$22,581.21","49.14%","1,881.85%","1,341","48.83%","2,135.00%","$21,796.69","43.36%",,"$11,265.86","42.79%",,"1,289","42.90%",,16,"-30.43%",
0811826023,"Peek-a Who? (Lift the Flap Books, Interactive Books for Kids, Interactive Read Aloud Books)","Chronicle Books","$22,103.40","16.77%","-6.53%","3,740","16.77%","2.38%","$22,180.23","18.28%","-8.02%","$12,011.12","18.36%","1.21%","3,753","18.28%","1.21%",65,"16.07%","16.07%"
0811877825,"Goodnight, Goodnight, Construction Site","Chronicle Books","$21,628.08","25.59%","-23.06%","1,897","32.01%","-18.48%","$21,713.84","26.52%","-23.58%","$14,883.32","33.19%","-18.63%","1,903","33.17%","-18.64%",111,"109.43%","94.74%"
0811864952,"Ivy and Bean's Treasure Box: (Beginning Chapter Books, Funny Books for Kids, Kids Book Series) (Ivy + Bean)","Chronicle Books","$21,466.65","-28.18%","-2.01%","1,798","-28.28%","12.94%","$21,661.92","-27.09%","-0.21%","$18,062.57","-21.30%","24.41%","1,815","-27.14%","15.02%",66,"-24.14%","120.00%"
1452174792,"Canvas One Line a Day: A Five-Year Memory Book (Yearly Memory Journal and Diary, Natural Canvas Cover)","Chronicle Books","$21,200.34","-14.84%","-5.53%","1,389","-14.26%","-15.77%","$21,430.15","-15.59%","-6.34%","$10,952.55","-15.04%","-16.12%","1,404","-15.01%","-16.13%",71,"-61.41%","-30.39%"
1646140001,"Everything Sad Is Untrue: (a true story)","LEVINE QUERIDO","$20,611.91","-0.45%","8.05%","1,358","-0.37%","-2.93%","$20,795.39","-1.59%","48.04%","$11,474.83","-0.27%","36.13%","1,365","-1.73%","34.09%",36,"-30.77%","200.00%"
1452172730,"Bibliophile Ceramic Vase: Collected Curiosities illustrated by Jane Mount: (Flower Vase, Desk Vase, Desk Décor)","Chronicle Books","$18,942.12","111.81%","1,529.07%",837,"111.90%","1,574.00%","$17,810.99","104.82%","1,399.61%","$9,046.24","105.21%","1,445.10%",788,"105.21%","1,445.10%",11,"120.00%","266.67%"
