ASIN,impressions,clicks,units sold,spend,14 day total sales,count of campaigns,campaign,ISBN,CTR,CRV,ACOS,ROAS,period,source_file
1743793456,538326.0,1723.0,78.0,487.28000000000003,2449.08,23.0,,,0.003200662795406501,0.04526987811955891,0.1989645091217927,5.026021999671646,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
1452170339,241810.0,1687.0,352.0,471.3900000000001,3080.0699999999983,64.0,,,0.00697655183822009,0.2086544161232958,0.15304522299817871,6.534016419525229,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
811826023,1063182.0,2795.0,516.0,467.0900000000001,3220.3099999999995,31.0,,,0.0026289007902692107,0.18461538461538463,0.14504504224748554,6.894410070864285,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
174379570X,496653.0,1902.0,160.0,461.65000000000003,3493.4699999999993,24.0,,9781743795705,0.0038296355805763783,0.08412197686645637,0.13214654770185522,7.567356222246288,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
811868958,85832.0,932.0,117.0,451.27000000000004,1769.2999999999997,42.0,,,0.010858421101687016,0.1255364806866953,0.2550556717345844,3.920712655394774,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
179722655X,562686.0,1586.0,277.0,441.96000000000004,4286.219999999999,42.0,,9781797226552,0.002818623530708068,0.1746532156368222,0.10311183280372918,9.69820798262286,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
1452152160,460999.0,1757.0,388.0,422.68999999999994,5042.2,43.0,,,0.0038112880939004208,0.22083096186681844,0.08383047082622663,11.928836736142328,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
811843513,410586.0,1474.0,110.0,421.5999999999999,2465.290000000001,29.0,,,0.0035899908910678882,0.07462686567164178,0.17101436342174745,5.847462049335867,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
1616898097,85530.0,1396.0,26.0,375.32,493.33000000000004,24.0,,,0.016321758447328423,0.01862464183381089,0.7607889242494881,1.3144250239795376,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
1452174032,880324.0,2370.0,195.0,371.85,2796.09,26.0,,,0.002692190602550879,0.08227848101265822,0.1329892814608972,7.519402985074627,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
174379553X,190259.0,909.0,53.0,370.69000000000005,1354.27,25.0,,9781743795538,0.004777697769882108,0.058305830583058306,0.2737194207949671,3.653376136394291,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
1797234684,154345.33333333334,1716.6666666666667,303.0,365.9999999999999,4566.046666666665,26.0,,,0.011122245354572862,0.17650485436893204,0.0801568680127375,12.475537340619308,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
B078X9MFG5,252672.66666666666,916.0,140.0,338.95,2151.0033333333336,35.0,,9791027605620,0.0036252437277215052,0.15283842794759825,0.15757762656496732,6.346078575994493,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
1797215205,733905.0,2603.0,134.0,324.91,1737.9800000000005,27.0,,,0.0035467805778677075,0.051479062620053785,0.18694691538452682,5.349112061801731,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
B01N1YE568,229248.0,1012.0,147.0,306.47,3121.390000000001,28.0,,9791027603039,0.0044144332774986045,0.14525691699604742,0.09818382195111791,10.184977322413289,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
1452101248,509639.0,1485.0,153.0,304.4600000000001,2932.079999999999,39.0,,,0.002913827238496269,0.10303030303030303,0.10383754877083852,9.63042764238323,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
