PERIOD,ISBN,PT,qty
202005,9781452153223,BK,3
202004,9780811857826,BK,3
202004,9780811848480,BK,3
202306,9781452182759,BK,3
202504,9781452147383,FT,3
202401,9781452178752,FT,3
202409,9781452161341,BK,3
202411,9781452178752,FT,4
202309,9781452147383,FT,4
202207,9781452150284,BK,4
202210,9780811807180,BK,4
202008,9781452159249,BK,4
202210,9780811814928,BK,4
202109,9781452178752,FT,4
202304,9780811875141,BK,4
202010,9780811822176,FT,4
202004,9780811879422,BK,4
202307,9781452145150,BK,4
202202,9781452147383,FT,4
202303,9781452165110,FT,4
202004,9781452106205,BK,4
202004,9781452141978,BK,4
202409,9781452145150,BK,4
202411,9781616895778,BK,4
202002,9781452184821,BK,4
202008,9781452145150,BK,4
202210,9781452147383,FT,4
202004,9781452156378,BK,4
202202,9781452145150,BK,4
202211,9781452141251,BK,4
202001,9781452147383,FT,4
202311,9781452147383,FT,4
202004,9781452150284,BK,4
202312,9781452147383,FT,4
202107,9781452147383,FT,4
202410,9781452178752,FT,4
202501,9781452165110,FT,4
202409,9780811830904,BK,4
202006,9781452146614,BK,4
202410,9780811822176,FT,4
202004,9780811840460,BK,4
202406,9781452147383,FT,4
202005,9781452178844,BK,4
202408,9781452161341,BK,4
202307,9781452100555,FT,4
202502,9781452176628,FT,4
202311,9781452119366,BK,4
202401,9781452152103,BK,4
202005,9781452146614,BK,4
202310,9781452182759,BK,4
202405,9781452182759,BK,4
202306,9781452147383,FT,4
202008,9781452133218,BK,5
202110,9781452119366,BK,5
202306,9781452174136,BK,5
202502,9780811814928,BK,5
202309,9781452182759,BK,5
202404,9781452155388,FT,5
202205,9781452152103,BK,5
202306,9781452145150,BK,5
202108,9781452127132,BK,5
202008,9781587170003,BK,5
202106,9781452159249,BK,5
202201,9781452145150,BK,5
202202,9781452159249,BK,5
202012,9780811851534,FT,5
202004,9780811810968,FT,5
202004,9780811863551,BK,5
202103,9781452117119,FT,5
202209,9780811814928,BK,5
202303,9781452182827,BK,5
202104,9781452117119,FT,5
202111,9781452168920,BK,5
202002,9781452147383,FT,5
202212,9780811822176,FT,5
202401,9781452165110,FT,5
202006,9780811877572,FT,5
202309,9781452145150,BK,5
202107,9781452114415,BK,5
202211,9780811822176,FT,5
202012,9780811822176,FT,5
202201,9780811879422,BK,5
202103,9781797201184,BK,5
202006,9781452114415,BK,5
202007,9781452162904,BK,5
202011,9781452147383,FT,5
